TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
2671,2.31,68.9,3771,610,5.838476748
2672,2.01,64.6,3518,337,5.97286045
2673,2.04,66.9,2145,434,6.016333854
2674.02,1.75,69.7,2708,331,5.92452901
2674.03,1.74,74.8,1497,293,5.896371673
2674.04,2.03,74.3,1941,334,5.998732166
2675.01,2.58,56.7,2201,2095,5.888102488
2675.02,2.09,54.6,1583,583,5.955821986
2676,2.44,55.6,1170,642,5.941226783
2677,2,62.1,1181,689,6.077657696
2678,2.53,68.6,1589,194,6.183764351
2679.01,1.63,60.7,1592,16,6.008030997
2679.02,2.15,75.7,2176,107,6.142030342
2690,2.4,66.2,3541,238,5.944584171
2691,2.18,63.9,2733,238,5.906588855
2693,2.85,81.9,2585,130,6.385093412
2695,2.9,74.2,2479,73,5.890091506
2696.01,3.01,21.7,375,1412,5.935932599
2696.02,2.38,40.5,884,876,5.98984674
2697,2.29,46,1176,1115,5.802491717
2698,2.07,55.7,1466,477,5.74287345
2699.03,2.18,54.2,1385,937,5.942903839
2699.04,1.86,50.8,1544,728,6.078043085
2699.05,2.5,56.7,742,1178,6.043775475
2699.06,1.93,67.1,1087,404,6.078266831
2699.07,2.11,52.4,965,787,5.723528798
2701,1.86,53.3,1940,932,5.945976096
2702,2.98,24.6,780,1918,6.07190632
2703,2.6,35.7,393,767,5.9027071
2711,2.43,58,1098,365,5.838395748
2712,2.38,51.6,821,738,5.870770345
2713,2.25,53.9,2061,741,6.057630463
2714,2.72,59.7,2256,365,5.846962285
2715,2.2,61.4,1626,454,5.630623754
2716,2.42,79.8,1772,261,5.86239943
2717.01,2.09,62.5,2988,729,5.74665445
2717.02,2.41,75.8,1369,536,5.994728403
2718.01,2.16,55.8,1306,1106,5.943004469
2718.02,2.36,46.9,2492,1129,5.987303933
2719.01,2.63,53.1,1269,843,5.854253446
2719.02,2.25,54.7,2025,670,5.913294797
2721,2.57,59.8,2153,771,5.964220491
2722.01,2.15,44.4,882,905,5.969086533
2722.02,2.37,40.8,1610,980,5.952128598
2723.01,2.42,45,1129,1091,5.81413025
2723.02,2.31,31.3,1426,1820,5.866126264
2731,2.36,52.7,1406,328,5.485838976
2732,2.35,56.3,1639,939,5.943362759
2733,2.15,55.7,1782,776,5.847920004
2734.02,1.41,67.4,2131,178,6.083076813
2735.02,1.72,63.6,2101,221,6.099374716
2736,2.05,67.6,1577,267,5.962083039
2737,2.34,55.8,1513,516,6.003330584
2738,2.1,58.1,1787,464,5.902375788
